"Date","Open","High","Low","Close"
"12 Aug 2022","4295.60","4320.15","4289.30","4310.70"
"11 Aug 2022","4272.40","4294.70","4263.25","4289.50"
"10 Aug 2022","4279.45","4284.45","4227.95","4239.40"
"08 Aug 2022","4247.45","4272.15","4217.70","4266.90"
"05 Aug 2022","4265.90","4283.25","4234.75","4246.05"
"04 Aug 2022","4303.50","4313.20","4192.30","4245.95"
"03 Aug 2022","4296.95","4310.15","4250.40","4278.15"
"02 Aug 2022","4276.00","4303.10","4247.65","4294.40"
"01 Aug 2022","4231.50","4286.55","4204.55","4278.35"
"29 Jul 2022","4172.80","4212.75","4162.00","4205.90"
"28 Jul 2022","4130.90","4143.20","4111.80","4139.10"
"27 Jul 2022","4081.10","4108.10","4066.40","4103.50"
"26 Jul 2022","4139.15","4141.05","4078.65","4083.90"
"25 Jul 2022","4159.55","4164.45","4115.60","4133.95"
"22 Jul 2022","4174.05","4192.15","4141.25","4167.20"
"21 Jul 2022","4131.00","4161.35","4115.40","4154.80"
"20 Jul 2022","4113.75","4149.50","4109.25","4121.40"
"19 Jul 2022","4029.35","4078.45","4020.35","4073.00"
"18 Jul 2022","3990.90","4039.70","3988.90","4034.60"
"15 Jul 2022","3950.65","3964.45","3925.15","3959.50"
"14 Jul 2022","3993.20","4000.55","3922.90","3942.05"
"13 Jul 2022","4002.80","4016.30","3978.70","3985.20"
"12 Jul 2022","3992.70","4014.40","3971.30","3980.15"
"11 Jul 2022","3947.75","4006.90","3936.40","4002.40"
"08 Jul 2022","3990.85","3996.80","3953.25","3961.15"
"07 Jul 2022","3928.15","3968.70","3923.25","3964.35"
"06 Jul 2022","3888.00","3898.10","3837.95","3893.70"
"05 Jul 2022","3915.05","3938.15","3877.35","3882.55"
"04 Jul 2022","3870.05","3903.80","3866.55","3898.90"
"01 Jul 2022","3846.95","3868.35","3802.90","3863.45"
"30 Jun 2022","3868.30","3893.05","3833.05","3848.55"
"29 Jun 2022","3839.50","3881.50","3830.30","3858.15"
"28 Jun 2022","3888.90","3889.45","3850.10","3884.35"
"27 Jun 2022","3893.60","3915.60","3886.40","3900.25"
"24 Jun 2022","3799.15","3842.70","3797.30","3838.60"
"23 Jun 2022","3716.85","3772.20","3707.50","3765.25"
"22 Jun 2022","3734.15","3738.35","3695.65","3704.75"
"21 Jun 2022","3661.85","3754.35","3651.60","3745.10"
"20 Jun 2022","3735.85","3748.65","3588.30","3622.25"
"17 Jun 2022","3734.80","3767.70","3676.50","3727.60"
"16 Jun 2022","3938.80","3950.60","3739.80","3752.55"
"15 Jun 2022","3887.05","3903.30","3869.20","3888.25"
"14 Jun 2022","3859.60","3927.95","3842.00","3860.25"
"13 Jun 2022","3973.95","3975.70","3880.15","3888.00"
"10 Jun 2022","4079.85","4092.85","4054.40","4063.15"
"09 Jun 2022","4102.15","4125.00","4084.90","4118.45"
"08 Jun 2022","4133.90","4161.60","4090.40","4111.35"
"07 Jun 2022","4109.65","4126.45","4087.40","4111.80"
"06 Jun 2022","4173.95","4178.95","4090.30","4133.15"
"03 Jun 2022","4254.05","4274.85","4171.65","4180.55"
"02 Jun 2022","4183.20","4215.75","4172.05","4210.80"
"01 Jun 2022","4215.20","4246.85","4159.30","4184.45"
"31 May 2022","4130.45","4213.80","4115.40","4194.15"
