AMC,Scheme Name,Scheme,Scheme Type,Date,Date
,,,,min,max
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,2013-01-02,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Buy India Fund - Dividend - Direct Plan,Open Ended Schemes,Growth,2013-01-02,2016-02-05
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Buy India Fund - Dividend - Regular Plan,Open Ended Schemes,Growth,2009-01-01,2016-02-05
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Buy India Fund - Growth - Direct Plan,Open Ended Schemes,Growth,2013-01-02,2016-02-05
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Buy India Fund - Growth - Regular Plan,Open Ended Schemes,Growth,2009-01-01,2016-02-05
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 10-Growth,Close Ended Schemes,Income,2012-07-13,2015-07-20
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 11- Growth,Close Ended Schemes,Income,2012-10-17,2015-10-26
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 12 - Growth,Close Ended Schemes,Income,2012-08-31,2015-09-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 13 - Growth,Close Ended Schemes,Income,2012-11-12,2015-11-16
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 14 - Growth,Close Ended Schemes,Income,2012-12-17,2015-12-17
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 16 - Direct Plan-Growth,Close Ended Schemes,Income,2013-11-07,2016-11-15
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 16 - Regular Plan-Growth,Close Ended Schemes,Income,2013-11-07,2016-11-15
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 17 - Direct Plan-Growth,Close Ended Schemes,Income,2013-12-09,2016-12-13
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 17 - Regular Plan-Growth,Close Ended Schemes,Income,2013-12-09,2016-12-13
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 18 - Direct Plan-Growth,Close Ended Schemes,Income,2014-02-05,2017-02-09
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 18 - Regular Plan-Growth,Close Ended Schemes,Income,2014-02-05,2017-02-09
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 19 - Direct Plan-Growth,Close Ended Schemes,Income,2014-03-10,2017-04-05
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 19 - Regular Plan-Growth,Close Ended Schemes,Income,2014-03-10,2017-04-05
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 20 - Direct Plan-Growth,Close Ended Schemes,Income,2014-05-05,2017-05-08
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 20 - Regular Plan-Growth,Close Ended Schemes,Income,2014-05-05,2017-05-08
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 21 - Direct Plan-Growth,Close Ended Schemes,Income,2014-06-10,2017-06-15
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 21 - Regular Plan-Growth,Close Ended Schemes,Income,2014-06-10,2017-06-15
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 22 - Direct Plan - Growth,Close Ended Schemes,Income,2014-08-14,2019-08-19
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 22 - Regular Plan - Growth,Close Ended Schemes,Income,2014-08-14,2019-08-19
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 23 - Direct Plan - Growth,Close Ended Schemes,Income,2014-09-22,2017-09-20
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 23 - Regular Plan - Growth,Close Ended Schemes,Income,2014-09-22,2017-09-20
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 25 - Direct Plan - Growth,Close Ended Schemes,Income,2014-11-27,2018-04-04
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 25 - Regular Plan - Growth,Close Ended Schemes,Income,2014-11-27,2018-04-04
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 26 - Direct Plan-Growth,Close Ended Schemes,Income,2015-04-06,2018-04-03
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 26 - Regular Plan-Growth,Close Ended Schemes,Income,2015-04-06,2018-04-03
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 29 - Direct Plan-Growth,Close Ended Schemes,Income,2015-12-15,2019-06-11
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 29 - Regular Plan-Growth,Close Ended Schemes,Income,2015-12-15,2019-06-11
