AMC,Scheme Name,Scheme,Scheme Type,Date,Date
,,,,min,max
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GU (368 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-05-06,2014-05-05
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GU (368 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-05-06,2014-05-05
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GU (368 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-05-06,2014-05-05
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GV (368 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-04-29,2014-04-28
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GV (368 days) - Direct Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-04-29,2014-04-28
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GV (368 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-04-29,2014-05-02
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GV (368 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-04-29,2014-04-28
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GV (368 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-04-29,2014-04-28
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GV (368 days) -Direct Plan-Growth,Close Ended Schemes,Income,2013-04-29,2014-04-28
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GX (366 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-05-16,2014-05-15
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GX (366 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-05-16,2014-05-15
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GX (366 days) - Direct Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-05-16,2014-05-15
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GX (366 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-05-16,2014-05-15
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GX (366 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-05-16,2014-05-15
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GX (366 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-05-16,2014-05-15
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GY (366 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-05-10,2014-05-08
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GY (366 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-05-10,2014-05-08
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GY (366 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-05-10,2014-05-08
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GY (366 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-05-10,2014-05-08
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series GY (366 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-05-10,2014-05-08
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HB (366 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-07-19,2014-07-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HB (366 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-07-19,2014-07-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HB (366 days) - Direct Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-07-19,2014-07-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HB (366 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-07-19,2014-07-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HB (366 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-07-19,2014-07-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HB (366 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-07-19,2014-07-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HD (366 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-03-14,2014-03-13
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HD (366 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-03-14,2014-03-13
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HD (366 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-03-14,2014-03-13
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HD (366 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-03-14,2014-03-13
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HE (386 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-03-15,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HE (386 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-03-15,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HE (386 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-03-15,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HE (386 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-03-15,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HF (385 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-03-18,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HF (385 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-03-18,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HF (385 days) - Direct Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-03-18,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HF (385 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-03-18,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HF (385 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-03-18,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HF (385 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-03-18,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HG (381 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-03-20,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HG (381 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-03-20,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HG (381 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-03-20,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HG (381 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-03-20,2014-04-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HH (382 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-03-25,2014-04-07
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HH (382 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-03-25,2014-04-07
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HH (382 days) - Direct Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-03-25,2014-04-07
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HH (382 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-03-25,2014-04-07
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HH (382 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-03-25,2014-04-07
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HH (382 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-03-25,2014-04-07
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HN (197 days) - Direct Plan-Dividend,Close Ended Schemes,Income,2013-09-02,2014-03-13
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HN (197 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-09-02,2014-03-13
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HN (197 days) - Regular Plan-Dividend,Close Ended Schemes,Income,2013-09-02,2014-03-13
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HN (197 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-09-02,2014-03-13
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HO (91 days) - Direct Plan-Dividend,Close Ended Schemes,Income,2013-09-02,2013-11-28
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HO (91 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-09-02,2013-11-28
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HO (91 days) - Regular Plan-Dividend,Close Ended Schemes,Income,2013-09-02,2013-11-28
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HO (91 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-09-02,2013-11-28
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HP (30 days) - Direct Plan-Dividend,Close Ended Schemes,Income,2013-08-30,2013-09-26
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HP (30 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-08-30,2013-09-26
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HP (30 days) - Regular Plan-Dividend,Close Ended Schemes,Income,2013-08-30,2013-09-26
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HP (30 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-08-30,2013-09-26
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HT (91 days) - Direct Plan-Dividend,Close Ended Schemes,Income,2013-09-11,2013-12-05
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HT (91 days) - Direct Plan-Dividend - Direct Plan-Growth,Close Ended Schemes,Income,2013-09-11,2013-12-05
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HT (91 days) - Regular Plan-Dividend,Close Ended Schemes,Income,2013-09-11,2013-12-05
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HT (91 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-09-11,2013-12-05
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HU (30 days) - Direct Plan-Dividend,Close Ended Schemes,Income,2013-09-06,2013-10-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HU (30 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-09-06,2013-10-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HU (30 days) - Regular Plan-Dividend,Close Ended Schemes,Income,2013-09-06,2013-10-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HU (30 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-09-06,2013-10-03
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HX (91 days) - Direct Plan-Dividend,Close Ended Schemes,Income,2013-09-16,2013-12-11
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HX (91 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-09-16,2013-12-11
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HX (91 days) - Regular Plan-Dividend,Close Ended Schemes,Income,2013-09-16,2013-12-11
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series HX (91 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-09-16,2013-12-11
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IA (1099 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-09-19,2014-09-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IA (1099 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-09-19,2014-09-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IA (1099 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-09-19,2014-09-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IA (1099 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-09-19,2014-09-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IB (91 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-09-20,2013-12-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IB (91 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-09-20,2013-12-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IB (91 days) - Regular Plan-Dividend,Close Ended Schemes,Income,2013-09-20,2013-12-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IB (91 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-09-20,2013-12-17
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IH (1098 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-10-08,2014-10-07
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IH (1098 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-10-08,2014-10-07
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IH (1098 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-10-08,2014-10-07
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IH (1098 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-10-08,2014-10-07
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IH (1098 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-10-08,2014-10-07
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series II (1099 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-10-10,2014-10-09
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series II (1099 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-10-10,2014-10-09
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series II (1099 days) - Direct Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-10-10,2014-10-09
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series II (1099 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-10-10,2014-10-09
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series II (1099 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-10-10,2014-10-09
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series II (1099 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-10-10,2014-10-09
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IJ (91 days) - Direct Plan-Dividend,Close Ended Schemes,Income,2013-10-07,2014-01-02
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IJ (91 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-10-07,2014-01-02
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IJ (91 days) - Regular Plan-Dividend,Close Ended Schemes,Income,2013-10-07,2014-01-02
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IJ (91 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-10-07,2014-01-02
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IT (367 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-10-31,2014-10-30
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IT (367 days) - Direct Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-10-31,2014-10-30
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IT (367 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-10-31,2014-10-30
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IT (367 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-10-31,2014-10-30
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IT (367 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-10-31,2014-10-30
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IV (368 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-11-13,2014-11-13
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IV (368 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-11-13,2014-11-13
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IV (368 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-11-13,2014-11-13
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IV (368 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-11-13,2014-11-13
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IW (368 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-11-20,2014-11-20
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IW (368 days) - Direct Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-11-20,2014-11-20
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IW (368 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-11-20,2014-11-20
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IW (368 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-11-20,2014-11-20
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series IW (368 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-11-20,2014-11-20
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JB (91 days) - Direct Plan- Dividend,Close Ended Schemes,Income,2013-12-02,2014-02-27
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JB (91 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-12-02,2014-02-27
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JB (91 days) - Regular Plan-Dividend,Close Ended Schemes,Income,2013-12-02,2014-02-27
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JB (91 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-12-02,2014-02-27
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JD (91 days) - Direct Plan-Dividend,Close Ended Schemes,Income,2013-12-09,2014-03-06
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JD (91 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-12-09,2014-03-06
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JD (91 days) - Regular Plan-Dividend,Close Ended Schemes,Income,2013-12-09,2014-03-06
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JD (91 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-12-09,2014-03-06
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JE (368 days) - Direct Plan-Growth,Open Ended Schemes,Income,2013-12-09,2014-12-08
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JE (368 days) - Direct Plan-Normal Dividend,Open Ended Schemes,Income,2013-12-09,2014-12-08
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JE (368 days) - Regular Plan-Growth,Open Ended Schemes,Income,2013-12-09,2014-12-08
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JE (368 days) - Regular Plan-Normal Dividend,Open Ended Schemes,Income,2013-12-09,2014-12-08
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JE (368 days) - Regular Plan-Quarterly Dividend,Open Ended Schemes,Income,2013-12-09,2014-12-08
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JG (368 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-12-17,2014-12-15
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JG (368 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-12-17,2014-12-15
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JG (368 days) - Direct Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-12-17,2014-12-15
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JG (368 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-12-17,2014-12-15
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JG (368 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-12-17,2014-12-15
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JG (368 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-12-17,2014-12-15
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JL (368 days) - Direct Plan-Growth,Close Ended Schemes,Income,2013-12-30,2014-12-29
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JL (368 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2013-12-30,2014-12-29
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JL (368 days) - Regular Plan-Growth,Close Ended Schemes,Income,2013-12-30,2014-12-29
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JL (368 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2013-12-30,2014-12-29
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JL (368 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2013-12-30,2014-12-29
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JN (368 days) - Direct Plan-Growth,Close Ended Schemes,Income,2014-01-06,2015-01-05
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JN (368 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2014-01-06,2015-01-05
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JN (368 days) - Regular Plan-Growth,Close Ended Schemes,Income,2014-01-06,2015-01-05
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JN (368 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2014-01-06,2015-01-05
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JN (368 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2014-01-06,2015-01-05
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JT (367 days) - Direct Plan-Growth,Close Ended Schemes,Income,2014-01-23,2015-01-22
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JT (367 days) - Regular Plan-Growth,Close Ended Schemes,Income,2014-01-23,2015-01-22
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JT (367 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2014-01-23,2015-01-22
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JT (367 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2014-01-23,2015-01-22
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JU (369 days) - Direct Plan-Growth,Close Ended Schemes,Income,2014-01-27,2015-01-27
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JU (369 days) - Direct Plan-Normal Dividend,Close Ended Schemes,Income,2014-01-27,2015-01-27
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JU (369 days) - Regular Plan-Growth,Close Ended Schemes,Income,2014-01-27,2015-01-27
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JU (369 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2014-01-27,2015-01-27
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JU (369 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2014-01-27,2015-01-27
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JZ (368 days) - Direct Plan-Growth,Close Ended Schemes,Income,2014-02-10,2015-02-09
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JZ (368 days) - Direct Plan-Quarterly Dividend,Close Ended Schemes,Income,2014-02-10,2015-02-09
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JZ (368 days) - Regular Plan-Growth,Close Ended Schemes,Income,2014-02-10,2015-02-09
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JZ (368 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2014-02-10,2015-02-09
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series JZ (368 days) - Regular Plan-Quarterly Dividend,Close Ended Schemes,Income,2014-02-10,2015-02-09
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series KB (367 days) - Direct Plan-Growth,Close Ended Schemes,Income,2014-02-12,2015-02-12
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series KB (367 days) - Regular Plan-Growth,Close Ended Schemes,Income,2014-02-12,2015-02-12
Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan - Series KB (367 days) - Regular Plan-Normal Dividend,Close Ended Schemes,Income,2014-02-12,2015-02-12
