Scheme Code,Scheme Name,startDate,endDate
100185,ING Income Fund-Bonus Option,2009-01-01,2009-06-12
100186,ING Income Fund-Institutional Bonus Option,2009-01-01,2009-06-12
100187,ING Income Fund-Institutional Plan - Growth Option,2009-01-01,2014-10-09
100188,ING Core Equity Fund-Dividend Option,2009-01-01,2014-10-09
100189,ING Core Equity Fund-Growth Option,2009-01-01,2014-10-09
100190,ING Liquid Fund-Regular Growth Option,2009-01-01,2014-10-09
100191,ING Liquid Fund-Regular Weekly Dividend Option,2009-01-01,2014-10-09
100192,ING Liquid Fund-Regular Daily Dividend Option,2009-01-01,2014-10-09
100194,ING Liquid Fund-Auto Sweep Growth Option,2009-01-01,2009-03-18
100195,ING Liquid Fund-Auto Sweep Weekly Dividend Option,2009-01-01,2009-03-18
100196,ING Liquid Fund-Institutional Growth Option,2009-01-01,2014-10-09
100197,ING Liquid Fund-Institutional Weekly Dividend Option,2009-01-01,2014-10-09
100198,ING Liquid Fund-Institutional Daily Dividend Option,2009-01-01,2014-10-09
100199,ING Liquid Fund-Super Institutional Growth Option,2009-01-01,2014-10-09
100200,ING Liquid Fund-Super Institutional Daily Dividend Option,2009-01-01,2014-10-09
100201,ING Liquid Fund-Super Institutional Weekly Dividend Option,2009-01-01,2014-10-09
100202,ING Balanced Fund-Dividend Option,2009-01-01,2014-10-09
100203,ING Balanced Fund-Growth Option,2009-01-01,2014-10-09
100218,JM Large Cap Fund (Regular) - IDCW ,2009-01-01,2022-10-07
100219,JM Large Cap Fund (Regular) - Growth Option,2009-01-01,2022-10-07
100220,JM Equity Hybrid Fund (Regular) - IDCW ,2009-01-01,2022-10-07
100221,JM Equity Hybrid Fund (Regular) -Growth Option,2009-01-01,2022-10-07
100222,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,2009-01-01,2022-10-07
100223,JM Medium to Long Duration Fund (Regular) - Growth Option,2009-01-01,2022-10-07
100233,JM Liquid Fund (Regular) - Weekly IDCW,2009-01-01,2022-10-07
100234,JM Liquid Fund - Growth Option,2009-01-01,2022-10-07
100237,JM High Liquidity Fund-- Institutional Plan - Growth,2009-01-01,2015-03-18
100238,JM High Liquidity Fund-Institutional Plan - Daily Dividend,2009-01-01,2016-08-01
100241,JM High Liquidity Fund-- Institutional Plan - Dividend,2009-01-01,2013-07-17
100243,JM High Liquidity Fund-- Premium Plan - Daily Dividend Option,2009-01-01,2010-01-04
100244,JM Liquid Fund (Regular) - Quarterly IDCW,2009-01-01,2022-10-07
100245,JM High Liquidity Fund-Super Institutional Plan- Daily Dividend,2009-01-01,2013-03-14
100246,JM High Liquidity Fund-Super Institutional Plan- Weekly  Dividend,2009-01-01,2013-08-11
100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,2009-01-01,2022-10-07
100249,JM G-Sec Fund - Quarterly Dividend Option,2009-01-01,2019-09-07
100250,JM G-Sec Fund - Growth Option,2009-01-01,2019-09-07
100253,JM G-Sec Fund - Bonus Option - Principal Units,2009-01-01,2019-09-07
100254,JM Value Fund (Regular) - Growth Option,2009-01-01,2022-10-07
100261,Kotak Gilt-Savings-Monthly Dividend,2009-01-01,2013-08-13
100262,Kotak Gilt-Savings-Growth,2009-01-01,2013-08-13
100263,Kotak Gilt-Savings-Annual Dividend,2009-01-01,2013-08-13
100264,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,2009-01-01,2022-10-07
100265,Kotak Gilt-Investment Regular-Growth,2009-01-01,2022-10-07
100280,Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,2009-01-01,2022-10-07
100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth,2009-01-01,2022-10-07
100286,Kotak Equity Hybrid - Payout of Income Distribution cum capital withdrawal option,2009-01-01,2022-10-07
100289,Kotak Tech,2009-01-01,2009-06-30
100290,Kotak MNC,2009-01-01,2009-06-30
100291,Kotak Bond-Deposit-Dividend,2009-01-01,2016-10-20
100292,Kotak Bond-Deposit-Growth,2009-01-01,2016-10-20
100298,Kotak Bond Regular Plan Quaterly Payout of Income Distribution cum capital withdrawal option,2009-01-01,2021-09-17
100299,Kotak Bond Fund - Regular Plan Growth,2009-01-01,2022-10-07
100300,Kotak Bond Fund - Regular Plan - Standard IDCW Option,2009-01-01,2022-10-07
100301,Kotak Bond Regular Plan Bonus Plan,2009-01-01,2016-10-21
100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,2009-01-01,2022-10-07
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,2009-01-01,2022-10-07
100314,LIC MF Bond Fund-Regular Plan-IDCW,2009-01-01,2022-10-07
100315,LIC MF Bond Fund-Regular Plan-Growth,2009-01-01,2022-10-07
100316,LIC MF Government Securities Fund-Regular Plan-IDCW,2009-01-01,2022-10-07
100317,LIC MF Government Securities Fund-Regular Plan-Growth,2009-01-01,2022-10-07
100318,LIC MF Government Securities Fund-PF Plan-IDCW,2009-01-01,2022-10-07
100319,LIC MF Government Securities Fund-PF Plan-Growth,2009-01-01,2022-10-07
100321,LIC MF Equity Hybrid Fund-Regular Plan-IDCW,2009-01-01,2022-10-07
100323,LIC MF Equity Hybrid Fund-Regular Plan-Growth,2009-01-01,2022-10-07
100325,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,2009-01-01,2022-10-07
100332,LIC MF Large Cap Fund-Regular Plan-IDCW,2009-01-01,2022-10-07
100337,SaharaTax Gain-Dividend,2009-01-01,2020-04-03
100338,SaharaTax Gain-Growth,2009-01-01,2020-04-03
100347,Morgan Stanley Growth Fund- Regular Growth Plan,2009-01-01,2014-06-26
100348,ICICI Prudential Large & Mid Cap Fund - IDCW,2009-01-01,2022-10-07
100349,ICICI Prudential Large & Mid Cap Fund - Growth,2009-01-01,2022-10-07
100350,ICICI Prudential Large & Mid Cap Fund - Institutional Option - I - Growth,2009-01-01,2014-07-07
100351,ICICI Prudential FMCG Fund - IDCW,2009-01-01,2022-10-07
100352,ICICI Prudential FMCG Fund - Growth,2009-01-01,2022-10-07
100353,ICICI Prudential Long Term Equity Fund (Tax Saving)- IDCW,2009-01-01,2022-10-07
100354,ICICI Prudential Long Term Equity Fund (Tax Saving) - Growth,2009-01-01,2022-10-07
100355,ICICI Prudential Equity & Debt Fund - Monthly IDCW,2009-01-01,2022-10-07
100356,ICICI Prudential Equity & Debt Fund - Growth,2009-01-01,2022-10-07
100357,ICICI Prudential Liquid Fund -Quarterly IDCW,2009-01-01,2022-09-16
100358,ICICI Prudential Liquid Fund-Dividend-Institutional Quarterly,2009-09-14,2012-07-03
100359,ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,2009-01-01,2020-04-24
100360,ICICI Prudential Liquid Institutional Plus Fund - Div - Weekly,2009-01-01,2014-09-08
100361,ICICI Prudential Liquid Fund-Dividend-Institutional Plus - Monthly,2009-09-21,2012-07-30
100362,ICICI Prudential Liquid Institutional Plus Fund - Growth,2009-01-01,2014-03-26
100363,ICICI Prudential Technology Fund - Growth,2009-01-01,2022-10-07
100364,ICICI Prudential Long Term Bond Fund - Half Yearly IDCW,2009-01-01,2022-09-16
100365,ICICI Prudential Long Term Bond Fund - Growth,2009-01-01,2022-10-07
100366,ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend,2009-01-01,2020-04-24
100367,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,2009-01-01,2022-10-07
100368,ICICI Prudential Gilt Fund - IDCW,2009-01-01,2022-10-07
100369,ICICI Prudential Gilt Fund - Growth,2009-01-01,2022-10-07
100370,ICICI Prudential Short Term Gilt Fund - Dividend,2009-01-01,2018-05-24
100371,ICICI Prudential Short Term Gilt Fund - Growth,2009-01-01,2018-05-24
100372,ICICI Prudential Short Term Gilt Fund - Half Yearly Dividend,2009-01-01,2018-05-24
100375,NIPPON INDIA GROWTH FUND - IDCW Option,2009-01-01,2022-10-07
100376,Nippon India Growth Fund-Growth Plan-Bonus Option,2009-01-01,2022-10-07
100377,Nippon India Growth Fund-Growth Plan-Growth Option,2009-01-01,2022-10-07
100378,NIPPON INDIA VISION FUND - IDCW Option,2009-01-01,2022-10-07
100379,Nippon India Vision Fund-GROWTH PLAN-Bonus Option,2009-01-01,2022-10-07
100380,Nippon India Vision Fund-GROWTH PLAN-Growth Option,2009-01-01,2022-10-07
100383,NIPPON INDIA INCOME FUND - MONTHLY IDCW Option,2009-01-01,2022-10-07
100384,NIPPON INDIA INCOME FUND - QUARTERLY IDCW Option,2009-01-01,2022-10-07
100385,NIPPON INDIA INCOME FUND - HALF YEARLY IDCW Option,2009-01-01,2022-10-07
100386,NIPPON INDIA INCOME FUND - ANNUAL IDCW Option,2009-01-01,2022-10-07
100387,Nippon India Income Fund - Growth Plan Growth Option,2009-01-01,2022-10-07
100388,Nippon India Income Fund - Growth Plan Bonus Option,2009-01-01,2022-10-07
100414,Tata Hybrid Equity Fund- Regular Plan - Growth Option,2009-01-01,2022-10-07
100415,Tata Ethical Fund-Regular Plan - Growth Option,2009-01-01,2022-10-07
100416,Tata Long Term Debt Fund - Regular Plan - Quarterly Dividend,2009-01-01,2017-10-27
100417,Tata Income Fund-Regular Plan - Half Yearly Payout of IDCW Option,2009-01-01,2022-09-23
100418,Tata Income Fund -Regular Plan - Growth Option,2009-01-01,2022-09-23
100470,Franklin India BLUECHIP FUND - IDCW ,2009-01-01,2022-10-07
100471,Franklin India Bluechip Fund-Growth,2009-01-01,2022-10-07
100472,Franklin India PRIMA FUND - IDCW ,2009-01-01,2022-10-07
100473,Franklin India Prima Fund-Growth,2009-01-01,2022-10-07
100474,Tata India Tax Savings Fund- Regular Plan - Payout of IDCW Option,2009-01-01,2022-10-07
100475,Tata Large Cap Fund -Regular Plan - Growth Option,2009-01-01,2022-10-07
100476,Taurus Flexi Cap Fund - Regular Plan - Growth ,2009-01-01,2022-10-07
100477,Taurus Discovery (Midcap) Fund - Regular Plan - Growth,2009-01-01,2022-10-07
100480,Taurus Taxshield - Regular Plan - Growth,2009-01-01,2022-10-07
100484,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth,2009-01-01,2022-10-07
