Scheme Code,Scheme Name,Net Asset Value,Date,Duration Days
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9607,2013-12-29,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9653,2013-12-30,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.9699,2013-12-31,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.568,2013-02-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5755,2013-02-03,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5794,2013-02-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5831,2013-02-05,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.587,2013-02-06,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5908,2013-02-07,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5946,2013-02-08,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.602,2013-02-10,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6059,2013-02-11,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6097,2013-02-12,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6135,2013-02-13,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6174,2013-02-14,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6212,2013-02-15,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6288,2013-02-17,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6327,2013-02-18,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6366,2013-02-19,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6405,2013-02-20,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6444,2013-02-21,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6483,2013-02-22,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.656,2013-02-24,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6599,2013-02-25,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6638,2013-02-26,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6676,2013-02-27,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6715,2013-02-28,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4483,2013-01-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4522,2013-01-02,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.456,2013-01-03,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4599,2013-01-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4675,2013-01-06,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4714,2013-01-07,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4753,2013-01-08,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4792,2013-01-09,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4831,2013-01-10,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4869,2013-01-11,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4945,2013-01-13,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.4984,2013-01-14,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5023,2013-01-15,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5062,2013-01-16,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5101,2013-01-17,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.514,2013-01-18,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5215,2013-01-20,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5255,2013-01-21,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5294,2013-01-22,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5333,2013-01-23,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5372,2013-01-24,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5487,2013-01-27,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5526,2013-01-28,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5565,2013-01-29,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5603,2013-01-30,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.5641,2013-01-31,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.14,2013-07-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1431,2013-07-02,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1465,2013-07-03,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1499,2013-07-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1532,2013-07-05,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1596,2013-07-07,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1631,2013-07-08,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1667,2013-07-09,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1703,2013-07-10,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.174,2013-07-11,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1776,2013-07-12,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1846,2013-07-14,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1882,2013-07-15,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1898,2013-07-16,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1927,2013-07-17,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1954,2013-07-18,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1986,2013-07-19,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2042,2013-07-21,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.208,2013-07-22,2
